epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,393.328,0.9176,0.51003,0.93614,0.89307,0.9413,0.96916,0.7153,0.99237,0.58256,0.98039,0.001226,0.001226,0.001226
45,402.332,0.92561,0.50482,0.9321,0.90378,0.91219,0.96045,0.70251,1.02266,0.54266,0.9921,0.001208,0.001208,0.001208
46,411.409,0.91759,0.50588,0.92603,0.92345,0.91409,0.97562,0.71914,1.01698,0.53684,0.98654,0.00119,0.00119,0.00119
47,420.411,0.9143,0.49988,0.92723,0.92002,0.90849,0.97341,0.71572,1.00234,0.54204,0.98338,0.001172,0.001172,0.001172
48,429.484,0.90634,0.49862,0.93286,0.90689,0.91477,0.97225,0.70855,0.99927,0.52907,0.98232,0.001154,0.001154,0.001154
49,438.406,0.90877,0.49371,0.92953,0.91874,0.94117,0.97503,0.72514,0.99108,0.52908,0.97037,0.001136,0.001136,0.001136
50,447.398,0.9175,0.50063,0.9339,0.90155,0.9317,0.96553,0.71675,1.01765,0.51093,0.98145,0.001118,0.001118,0.001118
51,456.197,0.89938,0.48585,0.93049,0.92665,0.91676,0.96902,0.72213,0.99468,0.51005,0.97409,0.0011,0.0011,0.0011
52,465.23,0.89848,0.48237,0.92566,0.89213,0.91791,0.95584,0.71226,0.98977,0.52711,0.97305,0.001082,0.001082,0.001082
53,474.191,0.90692,0.47969,0.92788,0.90895,0.90608,0.96868,0.71602,0.97919,0.51858,0.96646,0.001064,0.001064,0.001064
54,483.052,0.89856,0.47716,0.92421,0.91754,0.91249,0.97234,0.72567,0.97533,0.51984,0.97089,0.001046,0.001046,0.001046
55,491.789,0.89244,0.4706,0.91907,0.87092,0.90715,0.95202,0.70791,1.00658,0.55294,0.97974,0.001028,0.001028,0.001028
56,500.645,0.88549,0.47599,0.92173,0.91947,0.90172,0.97101,0.71963,0.99264,0.52381,0.97473,0.00101,0.00101,0.00101
57,509.597,0.88916,0.47946,0.92583,0.92517,0.9236,0.97372,0.72843,0.99782,0.50788,0.97642,0.000992,0.000992,0.000992
58,518.595,0.8849,0.47714,0.9259,0.9301,0.91462,0.97366,0.72744,0.98741,0.49602,0.97348,0.000974,0.000974,0.000974
59,527.522,0.86816,0.46392,0.92179,0.91401,0.91782,0.9717,0.72228,1.00979,0.51341,0.97746,0.000956,0.000956,0.000956
60,536.545,0.87066,0.46146,0.91878,0.93408,0.90822,0.97197,0.7324,0.98447,0.498,0.97512,0.000938,0.000938,0.000938
61,545.451,0.87047,0.46177,0.91999,0.91154,0.9317,0.97197,0.73203,0.97327,0.50523,0.97324,0.00092,0.00092,0.00092
62,554.474,0.86846,0.46047,0.91656,0.91963,0.93703,0.97288,0.72424,1.00241,0.50582,0.97855,0.000902,0.000902,0.000902
63,563.536,0.86189,0.45822,0.91771,0.92984,0.91933,0.9714,0.72661,0.99889,0.49728,0.97788,0.000884,0.000884,0.000884
64,572.505,0.86217,0.46104,0.92245,0.93523,0.90925,0.97065,0.72276,1.00574,0.50498,0.97708,0.000866,0.000866,0.000866
65,581.287,0.86389,0.45565,0.91985,0.91743,0.93675,0.9722,0.73271,0.98038,0.49697,0.96712,0.000848,0.000848,0.000848
66,590.339,0.86768,0.4619,0.91211,0.88092,0.92371,0.95188,0.69514,1.02046,0.54175,0.98756,0.00083,0.00083,0.00083
67,599.315,0.856,0.45095,0.91106,0.91297,0.92921,0.96392,0.7097,1.00622,0.52043,0.98036,0.000812,0.000812,0.000812
68,608.38,0.84092,0.44679,0.90599,0.92673,0.91569,0.96693,0.73123,0.98426,0.49933,0.97225,0.000794,0.000794,0.000794
69,617.497,0.84325,0.44794,0.91799,0.9236,0.91035,0.96718,0.73239,0.97623,0.51349,0.97143,0.000776,0.000776,0.000776
70,626.51,0.84043,0.4476,0.90238,0.92545,0.92743,0.97146,0.72474,1.00473,0.50013,0.98533,0.000758,0.000758,0.000758
71,635.217,0.85058,0.45154,0.91067,0.91772,0.91656,0.96889,0.72874,0.98906,0.51439,0.98049,0.00074,0.00074,0.00074
72,643.996,0.84931,0.45233,0.91278,0.91497,0.91676,0.96784,0.71726,1.01127,0.50961,0.98616,0.000722,0.000722,0.000722
73,652.647,0.83835,0.44201,0.90861,0.91609,0.92046,0.96612,0.72848,0.98867,0.49317,0.97366,0.000704,0.000704,0.000704
74,661.353,0.82966,0.43263,0.90827,0.92823,0.9248,0.97095,0.73639,0.98544,0.49503,0.97391,0.000686,0.000686,0.000686
75,670.047,0.82523,0.43589,0.90477,0.91754,0.91889,0.96689,0.72416,0.99936,0.53266,0.98164,0.000668,0.000668,0.000668
76,678.85,0.83602,0.44261,0.90622,0.90873,0.91378,0.96775,0.71221,1.00371,0.51135,0.98142,0.00065,0.00065,0.00065
77,687.602,0.82663,0.43597,0.90581,0.90774,0.93703,0.96826,0.72673,0.98115,0.49185,0.97646,0.000632,0.000632,0.000632
78,696.513,0.8266,0.44409,0.90254,0.91761,0.92636,0.9708,0.72647,0.99328,0.49117,0.98289,0.000614,0.000614,0.000614
79,705.332,0.8206,0.43794,0.90817,0.92271,0.9317,0.9754,0.73356,0.98009,0.47715,0.97261,0.000596,0.000596,0.000596
80,714.077,0.81336,0.42986,0.89968,0.92613,0.92209,0.96963,0.73204,0.97607,0.48832,0.97477,0.000578,0.000578,0.000578
81,722.775,0.81727,0.42464,0.9036,0.91426,0.93314,0.96944,0.7255,0.99556,0.49385,0.98088,0.00056,0.00056,0.00056
82,731.518,0.81569,0.42784,0.90053,0.92199,0.92085,0.96917,0.73452,0.97441,0.48084,0.97368,0.000542,0.000542,0.000542
83,740.258,0.80189,0.42802,0.9034,0.91513,0.93207,0.96713,0.72862,0.98011,0.49159,0.97473,0.000524,0.000524,0.000524
84,749.054,0.80966,0.42727,0.90111,0.91665,0.93893,0.96621,0.72847,0.98568,0.48905,0.97451,0.000506,0.000506,0.000506
85,757.874,0.79943,0.41767,0.89745,0.90384,0.94293,0.96699,0.7257,0.99231,0.49227,0.97654,0.000488,0.000488,0.000488
86,766.754,0.81144,0.42599,0.89785,0.92578,0.91848,0.96703,0.71947,1.00388,0.49649,0.98557,0.00047,0.00047,0.00047
87,775.343,0.80921,0.41987,0.90143,0.93515,0.90797,0.97066,0.72504,1.00032,0.49669,0.98282,0.000452,0.000452,0.000452
88,784.007,0.79515,0.41252,0.89872,0.92447,0.94055,0.97044,0.73579,0.97981,0.46988,0.96978,0.000434,0.000434,0.000434
89,792.881,0.79663,0.41902,0.89696,0.92299,0.93372,0.97277,0.73365,0.98319,0.47972,0.97343,0.000416,0.000416,0.000416
90,801.733,0.79113,0.40951,0.89401,0.92386,0.93703,0.96636,0.73323,0.98,0.4786,0.97177,0.000398,0.000398,0.000398
91,843.887,0.77159,0.39023,0.89396,0.91439,0.93469,0.96315,0.7259,0.98337,0.48578,0.97573,0.00038,0.00038,0.00038
